brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,country
Chevrolet,Camaro ZL1,2023,"2,950 mi.",Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Gray,None reported,Yes,"74,500",Sweden
Mercedes-Benz,AMG G 63 Base,2017,"73,000 mi.",Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"78,000",Switzerland
Ford,Thunderbird Premium,2005,"82,000 mi.",Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gold,White,None reported,Yes,"14,900",Spain
Audi,e-tron Prestige,2019,"7,874 mi.",,Electric,1-Speed Automatic,Typhoon Gray Metallic,Pearl Beige,None reported,,"38,999",France
GMC,Sierra 1500 SLT,2017,"49,105 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"39,750",Germany
Kia,Telluride LX,2023,"5,500 mi.",Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"40,000",Norway
Chevrolet,Corvette Base,2005,"36,700 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,"26,000",Switzerland
BMW,650 i,2014,"40,000 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,"34,000",France
Nissan,Rogue SL,2017,"78,110 mi.",Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,,,"17,500",France
GMC,Acadia Denali,2015,"74,864 mi.",Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,None reported,Yes,"19,780",Netherlands
Cadillac,Escalade Premium Luxury Platinum,2021,"15,350 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,"93,500",Netherlands
Nissan,GT-R Premium,2010,"46,100 mi.",Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,"72,999",Switzerland
Toyota,Highlander XLE,2018,"61,454 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,"31,000",Germany
BMW,X7 xDrive40i,2020,"45,241 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,None reported,Yes,"54,500",Switzerland
INFINITI,QX60 Base,2018,"48,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,"27,000",Spain
Lexus,IS 250C Base,2010,"68,500 mi.",Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Beige,None reported,Yes,"18,500",Switzerland
GMC,Sierra 1500 Denali,2019,"43,433 mi.",Gasoline,5.3L V8 16V GDI OHV,Automatic,Onyx Black,Walnut,None reported,,"51,899",Belgium
Chevrolet,SSR Base,2005,"122,961 mi.",Gasoline,6.0L V8 16V MPFI OHV,4-Speed Automatic,Redline Red,Ebony,None reported,Yes,"20,995",Austria
Dodge,Challenger R/T,2014,"92,861 mi.",Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Red,None reported,Yes,"19,750",Norway
Hyundai,Equus Signature,2016,"72,000 mi.",Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,"21,400",Spain
Lamborghini,Aventador SVJ Base,2019,"6,929 mi.",Gasoline,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,"649,999",France
Ford,Mustang GT,2003,"83,000 mi.",Gasoline,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"10,500",France
Audi,e-tron Premium,2021,"18,031 mi.",,Electric,1-Speed Automatic,Navarra Blue Metallic,Black,None reported,,"39,599",Germany
Toyota,Sequoia Limited,2023,"8,200 mi.",Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Brown,Black,None reported,Yes,"78,900",Italy
Land,Rover Range Rover Sport HST MHEV,2020,"19,000 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,,,"74,900",France
Jeep,Grand Cherokee L Limited,2022,"12,875 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Diamond Black,Global Black,None reported,,"42,599",Norway
Maserati,GranTurismo Sport,2015,"32,000 mi.",Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Brown,None reported,Yes,"36,000",Italy
BMW,M5 Base,2013,"61,145 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,"37,500",Spain
Mercedes-Benz,C-Class 4MATIC Sedan,2022,"9,612 mi.",Gasoline,"2L I-4 gasoline direct injection, DOHC, variable valve control,","Automatic, 9-Spd 9G-Tronic",–,–,None reported,,"43,900",Netherlands
Land,Rover Range Rover Sport First Edition,2023,"3,534 mi.",Hybrid,4.4 Liter,Automatic,Red,Black,None reported,,"143,998",Italy
Ford,F-150 Lariat,2011,"152,000 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,None reported,Yes,"14,000",Belgium
Audi,A4 2.0T Premium,2012,"129,567 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"7,000",Austria
BMW,540 i xDrive,2019,"36,000 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"41,995",Spain
BMW,X6 xDrive35i,2009,"92,008 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,"12,500",Austria
Ford,Mustang Base,1998,"63,900 mi.",Gasoline,150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,"10,300",Austria
Toyota,Sequoia Limited,2012,"150,900 mi.",Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"17,500",Sweden
Dodge,Challenger R/T Scat Pack,2019,"43,000 mi.",–,–,6-Speed M/T,Green,Black,None reported,Yes,"50,000",Netherlands
Land,Rover Range Rover 3.0L Supercharged,2018,"38,020 mi.",Gasoline,5.0 Liter,Automatic,White,Espresso,None reported,,"63,998",Italy
Audi,Q8 55 Premium Plus,2021,"14,750 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"61,059",Norway
Subaru,WRX Base,2015,"52,500 mi.",Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,"23,000",France
Chevrolet,Suburban LT,2017,"207,571 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"21,000",France
INFINITI,QX60 Pure,2020,"39,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,"29,900",Sweden
Porsche,Cayman Base,2011,"66,000 mi.",Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,,,"28,000",Italy
INFINITI,QX60 Base,2017,"93,500 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"16,000",France
BMW,M4 Base,2018,"7,200 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"64,000",Italy
Maserati,MC20 MC20,2022,"1,220 mi.",Gasoline,"Nettuno 3L V-6 port/direct injection, DOHC, variable valve contr","Automatic, 8-Spd Dual-Clutch",–,–,None reported,,"238,900",Norway
Land,Rover Defender SE,2023,"8,421 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,White,None reported,Yes,"90,000",Austria
BMW,M8 Base,2020,"25,520 mi.",Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Brands Hatch Gray Metallic,Black,None reported,,"84,900",Norway
Tesla,Model Y Performance,2020,"30,554 mi.",,Electric,1-Speed Automatic,Blue,Black,None reported,,"41,999",Sweden
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,"17,000 mi.",,402.0HP Electric Motor Electric Fuel System,A/T,Gray,Blue,None reported,Yes,"54,900",Netherlands
Mercedes-Benz,SL-Class SL 550,2011,"41,314 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,White,At least 1 accident or damage reported,Yes,"30,999",Spain
Land,Rover Range Rover P525 HSE SWB,2020,"49,899 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,"64,500",Belgium
Ford,Escape XLT,2012,"186,268 mi.",E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Blue,Black,None reported,Yes,"4,500",Norway
Lexus,ES 350 Base,2016,"51,335 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"25,995",Netherlands
Porsche,718 Boxster GTS,2019,"10,400 mi.",Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"99,750",Norway
Mercedes-Benz,G-Class G 550,2020,"20,622 mi.",Gasoline,4.0 Liter Twin Turbo,Automatic,designo Diamond White Metallic,Black,None reported,,"142,998",Norway
RAM,1500 Big Horn,2022,"19,376 mi.",Gasoline,5.7L V8 16V MPFI OHV,Automatic,Bright White Clearcoat,Black,None reported,Yes,"45,861",Norway
Audi,R8 5.2 V10 performance,2020,"12,245 mi.",Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Daytona Gray Pearl Effect w/ Black Roof,Black / Express Red,None reported,,"187,900",Germany
Mitsubishi,Lancer Evolution IX,2006,"77,000 mi.",Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,Yes,"57,000",Norway
Acura,TL Technology,2013,"40,000 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,None reported,Yes,"24,000",Switzerland
Cadillac,CTS Luxury,2012,"113,000 mi.",Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"10,000",Germany
Chevrolet,Camaro 1SS,2022,"7,600 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,"46,000",Norway
Toyota,Camry Hybrid LE,2022,"20,400 mi.",Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Gray,None reported,Yes,"29,900",Germany
Ford,Transit-350 XLT,2019,"115,000 mi.",Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,"39,000",Austria
Lexus,RX 450h Base,2012,"239,000 mi.",Hybrid,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,"7,000",Sweden
Jaguar,F-TYPE V6 S,2014,"62,194 mi.",Gasoline,3.0 Liter SC ULEV,Automatic,Black,Black,None reported,,"32,998",Germany
Jeep,Wrangler Sahara,2020,"22,138 mi.",Gasoline,3.6 Liter,Automatic,Black,Black,None reported,,"38,598",Norway
Porsche,718 Boxster S,2017,"48,900 mi.",Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,"62,500",Italy
Audi,R8 5.2,2014,"21,800 mi.",Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"117,000",France
Lincoln,MKZ Base,2016,"68,200 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"16,750",Germany
Chevrolet,S-10 LS Crew Cab,2001,"139,000 mi.",Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,"7,000",Norway
Mercedes-Benz,G-Class G 550 4MATIC,2021,"76,100 mi.",Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"130,000",France
Lexus,RX 350 RX 350 F SPORT Handling,2022,"14,330 mi.",Gasoline,3.5 Liter DOHC,Automatic,Black,Red,None reported,,"54,998",Germany
BMW,750 i xDrive,2019,"41,906 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,White,At least 1 accident or damage reported,Yes,"45,999",Spain
Chevrolet,Camaro 2SS,2016,"164,000 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,"21,500",Italy
Ford,Fusion Hybrid SE,2013,"161,933 mi.",Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,Blue,Charcoal Black,None reported,Yes,"7,945",Switzerland
Hyundai,Santa Cruz 2.5T Limited,2022,"22,829 mi.",Gasoline,2.5L I4 16V PDI DOHC Turbo,Automatic,Hampton Gray,Black,None reported,,"34,580",Italy
Lexus,RX 350 F Sport,2023,"5,483 mi.",Gasoline,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,Ultra White,Black,None reported,,"59,950",Switzerland
Land,Rover Range Rover Evoque S,2020,"46,891 mi.",Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"31,000",Sweden
Chevrolet,Suburban LT,2019,"72,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,"39,000",Norway
Porsche,718 Spyder Base,2020,"3,400 mi.",Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"129,900",Norway
Chevrolet,Camaro 1LT,2021,"18,000 mi.",Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"30,000",Austria
Jeep,Gladiator Freedom,2021,"30,630 mi.",Gasoline,3.6 Liter,Automatic,Hydro Blue Pearlcoat,Black,None reported,,"39,998",Norway
Toyota,Tacoma Double Cab,2007,"24,985 mi.",Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Silver,,,"33,580",Austria
GMC,Yukon Denali Ultimate,2023,"9,978 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Gold,None reported,Yes,"93,999",Belgium
Ford,Shelby GT350R Base,2018,"18,500 mi.",Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,Blue,Black,At least 1 accident or damage reported,Yes,"77,999",Norway
Cadillac,Escalade Premium Luxury Platinum,2021,"72,843 mi.",Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,Sandstone Metallic,Dark Auburn,None reported,Yes,"79,990",Italy
Buick,LaCrosse Base,2017,"67,500 mi.",Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,"20,000",Austria
Tesla,Model X Long Range Plus,2020,"43,534 mi.",,534.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,None reported,Yes,"65,990",Spain
Mercedes-Benz,E-Class E 300 4MATIC,2017,"36,900 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Beige,None reported,Yes,"28,500",Austria
Chevrolet,Tahoe LT,2017,"61,720 mi.",E85 Flex Fuel,5.3 Liter,Automatic,Silver,Jet Black,At least 1 accident or damage reported,,"39,998",Spain
Kia,Telluride EX,2022,"35,938 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Glacial White Pearl,Black,None reported,,"43,329",France
Toyota,Tundra Hybrid Limited,2023,"10,748 mi.",Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Midnight Black Metallic,Black,None reported,,"63,100",Belgium
Audi,S8 4.0T quattro,2023,"4,457 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Mythos Black Metallic,Black,None reported,,"107,900",Spain
Nissan,Armada Platinum,2018,"108,206 mi.",Gasoline,5.6 Liter,Automatic,White,Charcoal,At least 1 accident or damage reported,,"26,498",Austria
Land,Rover Discovery HSE,2020,"32,705 mi.",Diesel,3.0 Liter,Automatic,Portofino Blue Metallic,Tan/Ebony/Ebony,None reported,,"46,598",Italy
Kia,Telluride S,2020,"74,026 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Sangria Red,Black,None reported,,"32,913",Austria
Lexus,GS 350 F Sport,2020,"24,651 mi.",Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,Ultra White,Black,None reported,,"45,950",Netherlands
BMW,X6 xDrive40i,2022,"13,000 mi.",Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Orange,None reported,Yes,"69,000",Italy
Land,Rover Range Rover P400 SE SWB,2023,"11,700 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,White,None reported,Yes,"133,500",Austria
Chevrolet,Silverado 3500 High Country,2015,"77,500 mi.",Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Brown,None reported,Yes,"54,000",Sweden
Maserati,Quattroporte Sport GT,2007,"82,000 mi.",Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"7,999",France
Dodge,Viper GTC,2017,"1,389 mi.",Gasoline,645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,"489,995",Austria
Ford,Expedition Limited,2021,"29,830 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Magnetic Metallic,Ebony,None reported,,"55,329",Norway
Mazda,Mazda6 i Grand Touring,2016,"83,100 mi.",–,–,A/T,White,White,None reported,Yes,"17,800",Austria
Kia,Optima LX,2019,"62,660 mi.",Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"16,500",Spain
Land,Rover Range Rover Sport SVR,2018,"56,006 mi.",Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,White,None reported,Yes,"59,000",Italy
Lexus,RX 450h F SPORT Handling,2021,"31,365 mi.",Hybrid,3.5 Liter DOHC,Variable,Beige,Red,None reported,,"52,998",Sweden
Lincoln,Town Car Base,2004,"27,600 mi.",Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,White,None reported,Yes,"14,900",France
Honda,Civic Si,2012,"47,245 mi.",Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"19,600",Germany
Lexus,RX 450h Base,2017,"73,948 mi.",Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,White,Beige,None reported,Yes,"31,990",Sweden
RAM,1500 Classic Warlock,2019,"36,757 mi.",E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,"31,953",Belgium
Tesla,Model Y Long Range,2023,"4,786 mi.",,425.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,"48,000",Sweden
Audi,RS 3 2.5T,2023,"1,900 mi.",Gasoline,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,"78,900",Austria
Hyundai,Genesis Coupe 3.8 R-Spec,2014,"52,060 mi.",Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,"15,000",Italy
Porsche,Boxster RS 60 Spyder,2008,"58,000 mi.",Gasoline,303.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,"41,500",Switzerland
Ford,F-250 XLT,2010,"52,246 mi.",Diesel,6.4L V8 32V DDI OHV Twin Turbo Diesel,6-Speed Manual,Tan,Medium Stone,None reported,Yes,"26,095",Switzerland
Kia,Sorento EX,2016,"64,290 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Snow White Pearl,Satin Black,None reported,,"16,999",Sweden
Nissan,370Z Touring,2009,"37,500 mi.",Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Orange,None reported,Yes,"21,500",Germany
Genesis,G70 2.0T,2023,"2,121 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,"40,750",Sweden
Land,Rover Range Rover Sport Supercharged,2013,"57,000 mi.",Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,"26,000",Sweden
Mercedes-Benz,S-Class S 560 4MATIC,2020,"22,000 mi.",Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,"69,500",Germany
Ford,Bronco Wildtrak Advanced,2023,"2,000 mi.",Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"66,500",Germany
RAM,1500 SLT,2018,"61,802 mi.",E85 Flex Fuel,305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Black,Gray,None reported,Yes,"32,000",Austria
Dodge,Challenger R/T,2010,"73,000 mi.",–,–,A/T,Black,Black,None reported,Yes,"17,500",Sweden
Chevrolet,Sonic LT,2013,"110,000 mi.",–,–,A/T,Gray,Black,None reported,Yes,"7,500",Italy
Jeep,Grand Cherokee Laredo,2013,"106,700 mi.",E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,"13,500",Norway
Audi,RS 5 4.2,2013,"75,965 mi.",Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"35,999",Netherlands
Jeep,Grand Cherokee L Overland,2022,"31,804 mi.",Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Silver Zynith,Global Black,At least 1 accident or damage reported,Yes,"48,995",Norway
Mazda,MX-5 Miata Base,1992,"125,800 mi.",–,–,5-Speed M/T,Red,Black,None reported,Yes,"11,500",Spain
Chrysler,Crossfire Limited,2005,"116,320 mi.",Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Red,At least 1 accident or damage reported,Yes,"6,000",Belgium
Audi,S5 4.2 Premium Plus,2011,"156,875 mi.",Gasoline,354.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Red,At least 1 accident or damage reported,Yes,"9,900",France
Tesla,Model X Base,2023,197 mi.,,670.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,"85,000",Switzerland
Cadillac,CT4 Luxury,2020,"35,200 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,"28,500",France
Maserati,Ghibli S Q4,2014,"76,000 mi.",Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"19,000",Belgium
Jaguar,F-PACE 25t Premium,2019,"29,000 mi.",Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"34,500",Norway
BMW,750 i xDrive,2019,"33,499 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,"44,495",France
Acura,TLX V6 Advance,2019,"25,779 mi.",Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Platinum White Pearl,Ebony,At least 1 accident or damage reported,,"30,999",Germany
GMC,Terrain SLT-1,2015,"76,296 mi.",Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"9,500",Switzerland
BMW,i3 Base w/Range Extender,2014,"29,553 mi.",,170.0HP 0.65L Electric Motor Electric Fuel System,1-Speed A/T,Black,Gray,None reported,Yes,"12,800",France
Nissan,Versa 1.8 S,2011,"109,902 mi.",Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,"4,500",Italy
Mercedes-Benz,C-Class C 300 4MATIC,2019,"23,083 mi.",Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,"33,500",Spain
Toyota,Matrix XRS,2003,"143,600 mi.",Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"4,199",Netherlands
RAM,1500 Limited,2021,"22,000 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"54,800",Norway
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,"13,000 mi.",Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Silver,Black,None reported,Yes,"81,500",Spain
Audi,A5 2.0T Premium,2018,"53,000 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Brown,At least 1 accident or damage reported,Yes,"28,000",Italy
Lincoln,Navigator Reserve,2019,"44,741 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Beige,Beige,None reported,Yes,"52,999",France
Audi,A6 3.2 quattro,2008,"202,000 mi.",Gasoline,255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,"5,700",Switzerland
